Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,HUDMedianIncomeAmount,TotalMonthlyIncomeAmount,LTVRatioPercent,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,PropertyUsageType,PropertyUnitCount,PropertyType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,Borrower1SexType,Borrower2SexType,Borrower1Race1Type,Borrower2Race1Type,EmploymentBorrowerSelfEmployed,min_credit_score,avg_age
2024,2823455,Dallas,22,073,33740,9.041,75417,64272,64200,49919,85,7,210700,3.49,20.96,4,4,12,1,01,0,360,360,01,1,1,PT01,3,0,22,56,1,2,5,5,1,4,39
2024,2823456,Dallas,16,019,26820,34.25,55450,85494,87200,15918,85,7.125,339915,15.96,19.81,5,4,12,1,01,0,360,360,01,1,1,PT01,2,1,23,23,1,2,5,5,0,4,23
2024,2823457,Dallas,16,065,39940,7.695,81172,73895,79600,8125,80,6.875,244000,24.21,32.29,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,29,NA,1,NA,5,8,0,4,29
2024,2823458,Dallas,21,117,17140,11.878,106250,97826,103700,6500,80,7.625,190400,26.56,48.99,4,NA,0,1,01,0,360,360,01,1,1,PT01,1,0,52,NA,1,NA,5,8,0,4,52
2024,2823459,Dallas,47,165,34980,18.213,118750,96905,104700,20553,89,7.125,579990,22.67,22.8,4,NA,25,1,01,0,360,360,01,1,1,PT07,1,1,38,NA,1,NA,5,8,0,4,38
2024,2823460,Dallas,12,031,27260,18.359,102295,88994,98000,32449,82,7.125,635000,16.73,20.53,3,4,12,1,01,0,360,360,01,1,1,PT01,2,0,36,31,1,2,5,5,1,3,33.5
2024,2823461,Dallas,55,089,33340,12.597,158884,97232,102100,18003,90,7.125,589500,26.57,41.51,4,5,25,1,01,0,360,360,01,1,1,PT01,2,0,39,38,1,2,5,5,1,4,38.5
2024,2823462,Dallas,48,453,12420,31.003,227853,115204,126000,23383,95,7.25,584250,23.99,40.92,3,3,30,1,01,0,360,360,01,1,1,PT01,2,1,41,40,1,2,5,5,0,3,40.5
2024,2823463,Dallas,48,061,15180,34.476,83051,54380,60400,5663,80,7.375,224000,42.42,49.31,3,NA,0,1,01,0,360,360,01,1,1,PT06,1,1,28,NA,2,NA,3,8,0,3,28
2024,2823464,Dallas,48,029,41700,55.94,188533,85469,89300,19417,65,7.375,587000,29.42,49.01,4,4,0,6,01,0,360,360,01,1,1,PT07,2,0,41,42,1,2,5,5,0,4,41.5
2024,2823465,Dallas,48,309,47380,18.44,103553,77527,83100,10100,79,7.375,565000,45.86,48.44,4,4,0,6,01,0,360,360,01,1,1,PT01,2,0,34,33,1,2,5,5,1,4,33.5
2024,2823466,Dallas,48,257,19100,54.991,111304,99957,107300,22917,90,7.375,524106,19.77,35.25,3,NA,25,1,01,0,360,360,01,1,1,PT07,1,0,52,NA,1,NA,5,8,0,3,52
2024,2823467,Dallas,48,139,19100,0,0,0,107300,19671,95,6.99,611500,24.56,32.88,3,NA,30,1,01,0,360,360,01,1,1,PT07,1,1,30,NA,1,NA,3,8,0,3,30
2024,2823468,Dallas,48,257,19100,43.883,74764,99957,107300,5407,80,7.5,208000,38.57,43.71,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,0,73,NA,2,NA,5,8,0,4,73
2024,2823469,Dallas,48,085,19100,34.894,109728,99957,107300,22921,80,6.99,572800,21.38,46.18,4,4,0,1,01,0,360,360,01,1,1,PT07,2,0,33,40,1,2,3,3,0,4,36.5
2024,2823470,Dallas,17,031,16980,24,201298,106055,109800,13548,85,7.125,527000,37.63,37.63,5,NA,12,1,01,0,360,360,01,1,1,PT06,1,1,30,NA,1,NA,5,8,0,5,30
2024,2823471,Dallas,45,083,43900,15.84,62589,75197,72500,12333,80,7.99,436000,30.34,36.91,3,2,0,1,01,0,360,360,01,1,1,PT01,2,0,56,40,2,1,5,5,1,2,48
2024,2823472,Dallas,08,031,19740,33.756,59239,119980,130400,4799,80,6.625,145482,30.66,41.65,3,NA,0,1,01,0,360,360,01,1,1,PT06,1,0,32,NA,1,NA,5,8,0,3,32
2024,2823473,Dallas,48,439,19100,35.235,86731,99957,107300,7482,72,7.25,210000,27.97,33.16,3,NA,0,1,01,0,360,360,01,1,1,PT01,1,0,35,NA,1,NA,5,8,0,3,35
2024,2823474,Dallas,04,013,38060,9.493,75385,93191,101300,5539,80,6.625,220000,33.73,47.05,5,NA,0,1,01,0,360,360,01,1,1,PT06,1,0,71,NA,2,NA,5,8,0,5,71
2024,2823475,Dallas,39,049,18140,13.082,215958,97262,103300,8334,80,7.99,182400,23.81,40.97,4,NA,0,1,01,0,360,360,01,1,1,PT06,1,1,34,NA,1,NA,5,8,0,4,34
2024,2823476,Dallas,26,155,29620,6.868,90109,78144,91100,7735,70,7.25,196500,20.65,45.84,5,2,0,6,01,0,360,360,01,1,1,PT01,2,0,48,33,1,2,5,NA,0,2,40.5
2024,2823478,Dallas,12,055,42700,14.891,68520,62914,70600,16954,90,7.624,193500,1.8,21.5,5,NA,25,1,01,0,360,360,01,2,1,PT07,1,0,54,NA,1,NA,5,8,0,5,54
2024,2823479,Dallas,48,397,19100,31.593,213237,99957,107300,22996,80,6.875,422405,16.62,40.75,3,NA,0,1,01,0,360,360,01,1,1,PT01,1,0,31,NA,1,NA,5,8,0,3,31
2024,2823480,Dallas,47,167,32820,41.88,67333,78701,84000,7945,75,6.625,376000,33.56,44.42,4,NA,0,2,01,0,360,360,01,1,1,PT01,1,0,24,NA,1,NA,5,8,1,4,24
2024,2823481,Dallas,12,105,29460,29.187,68608,69667,76400,14931,80,6.875,320800,2.01,23.25,5,5,0,1,01,0,360,360,01,2,1,PT01,2,0,44,54,NA,NA,NA,NA,0,5,49
2024,2823482,Dallas,29,213,14700,21.926,44250,66114,70600,12223,70,7.375,179500,12.82,27.24,5,5,0,1,01,0,360,360,01,2,1,PT06,2,0,48,47,1,2,5,5,0,5,47.5
2024,2823483,Dallas,05,007,22220,0,0,0,94400,8568,80,6.625,349872,31.28,31.38,5,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,34,NA,2,NA,2,8,0,5,34
2024,2823484,Dallas,05,007,22220,37.928,113955,88653,94400,9883,49,6.25,135000,14.13,20.93,5,NA,0,2,01,0,180,180,01,1,1,PT01,1,0,31,NA,2,NA,5,8,0,5,31
2024,2823485,Dallas,05,143,22220,15.834,99926,88653,94400,11900,75,7,316875,22.06,22.82,4,NA,0,1,01,0,360,360,01,1,1,PT07,1,1,37,NA,1,NA,2,8,0,4,37
2024,2823486,Dallas,48,453,12420,68.671,69444,115204,126000,14919,83,6.875,344450,20.88,23.17,4,NA,12,1,01,0,360,360,01,1,1,PT01,1,1,33,NA,2,NA,5,8,0,4,33
2024,2823487,Dallas,48,453,12420,84.957,59848,115204,126000,7336,85,6.625,293250,35.59,46.32,2,4,12,1,01,0,360,360,01,1,1,PT01,2,1,31,35,2,1,5,5,0,2,33
2024,2823488,Dallas,48,453,12420,50.38,232847,115204,126000,18709,43,6.375,355000,19.26,34.51,5,5,0,1,01,0,360,360,01,1,1,PT01,2,1,38,39,1,2,NA,2,0,5,38.5
2024,2823489,Dallas,48,491,12420,57.785,111756,115204,126000,7016,80,6.875,328592,41.08,47.98,5,5,0,1,01,0,360,360,01,1,1,PT07,2,0,52,46,1,2,2,2,0,5,49
2024,2823490,Dallas,48,027,28660,61.468,33956,75208,75800,4921,79,6.375,110000,18.95,24.25,3,NA,0,1,01,0,360,360,01,1,1,PT01,1,1,45,NA,1,NA,5,8,0,3,45
2024,2823492,Dallas,48,491,12420,56.37,135667,115204,126000,7018,57,6.5,260000,34.89,35.94,5,NA,0,1,01,0,360,360,01,1,1,PT07,1,0,25,NA,1,NA,2,8,0,5,25
2024,2823493,Dallas,48,453,12420,70.022,136563,115204,126000,6506,42,6.625,360000,42.18,43.56,5,5,0,1,01,0,360,360,01,1,1,PT01,2,1,36,33,2,1,5,5,1,5,34.5
2024,2823494,Dallas,48,453,12420,59.672,127231,115204,126000,19708,93,6.875,448200,20.07,36.25,5,5,30,1,01,0,360,360,01,1,1,PT06,2,0,34,33,1,1,5,5,0,5,33.5
2024,2823495,Dallas,48,453,12420,28.93,170763,115204,126000,13849,80,7.625,523200,36.76,46.38,4,5,0,1,01,0,360,360,01,1,1,PT07,2,1,31,32,NA,NA,NA,NA,0,4,31.5
2024,2823496,Dallas,48,491,12420,47.502,157163,115204,126000,15315,95,6.5,538650,30.92,40.03,5,NA,30,1,01,0,360,360,01,1,1,PT01,1,0,69,NA,2,NA,NA,8,0,5,69
2024,2823497,Dallas,48,035,99999,16.016,83493,77047,81800,14877,80,7.5,368000,22.74,25.63,3,4,0,1,01,0,360,360,01,1,1,PT01,2,1,35,34,1,2,5,5,0,3,34.5
2024,2823498,Dallas,48,453,12420,78.103,46761,115204,126000,8051,39,7.125,150000,18.55,42.33,3,4,0,6,01,0,240,240,01,1,1,PT01,2,0,74,79,1,2,5,5,0,3,76.5
2024,2823500,Dallas,48,201,26420,44.188,165764,92750,95200,26849,95,6.625,617500,19.1,48.29,4,5,30,1,01,0,360,360,01,1,1,PT07,2,1,33,28,1,2,5,5,1,4,30.5
2024,2823501,Dallas,48,209,12420,62.852,98433,115204,126000,5834,66,7.625,207000,32.71,39.52,4,NA,0,6,01,0,360,360,01,1,1,PT07,1,0,52,NA,2,NA,5,8,0,4,52
2024,2823502,Dallas,48,201,26420,37.794,158949,92750,95200,12792,80,6.875,400000,28.76,29.65,5,5,0,1,01,0,360,360,01,1,1,PT01,2,0,33,33,2,1,5,5,0,5,33
2024,2823503,Dallas,48,453,12420,59.243,55283,115204,126000,12739,70,6.5,381500,24.92,28.8,5,NA,0,1,01,0,360,360,01,1,1,PT01,1,1,26,NA,1,NA,2,8,0,5,26
2024,2823504,Dallas,48,453,12420,16.304,125938,115204,126000,16943,80,7.125,472000,23.08,23.56,5,5,0,1,01,0,360,360,01,1,1,PT07,2,1,27,28,1,2,5,5,0,5,27.5
2024,2823505,Dallas,35,001,10740,58.623,94369,79295,86400,21667,78,7,350000,14.24,19.96,5,5,0,1,01,0,360,360,01,1,1,PT07,2,1,53,48,2,1,5,5,0,5,50.5
2024,2823506,Dallas,35,001,10740,42.743,101215,79295,86400,17916,80,7,335600,19.23,25.3,4,4,0,1,01,0,360,360,01,1,1,PT01,2,1,29,24,1,2,NA,NA,0,4,26.5
2024,2823507,Dallas,35,001,10740,41.585,105907,79295,86400,11908,80,6.875,336000,26.72,27.27,5,NA,0,1,01,0,240,240,01,1,1,PT01,1,1,33,NA,1,NA,5,8,0,5,33
2024,2823508,Dallas,35,001,10740,73.1,73945,79295,86400,12567,80,7,268000,17.96,21.98,5,NA,0,1,01,0,360,360,01,1,1,PT01,1,1,39,NA,1,NA,2,8,0,5,39
2024,2823509,Dallas,35,001,10740,41.651,126750,79295,86400,9883,80,7,304000,29.03,35.71,5,NA,0,1,01,0,360,360,01,1,1,PT01,1,1,24,NA,1,NA,5,8,0,5,24
2024,2823510,Dallas,48,453,12420,29.781,210878,115204,126000,18463,75,7.375,689000,32.36,46.37,3,4,0,6,01,0,360,360,01,1,1,PT07,2,0,47,48,1,NA,5,NA,0,3,47.5
