Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2024,2860698,Cincinnati,39,017,17140,0111.10,15,145063,97826,19296,103700,190000,78,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,58,56,1,1,6.75,590000,25,30,5,5,0,0,PT07,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860699,Cincinnati,39,057,19430,2102.01,12,142317,87717,16701,92900,263000,64,2024,2024,2,01,0,180,180,01,2,0,5,5,2,1,47,48,1,1,6,263000,19,38,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860700,Cincinnati,39,057,19430,2402.00,17,49891,87717,17042,92900,79900,45,2024,2024,1,01,0,180,180,01,2,0,5,5,2,1,76,65,1,1,6,79900,6,32,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860701,Cincinnati,18,059,26900,4103.02,8,102899,93688,7358,101200,185000,56,2024,2024,1,01,0,180,180,01,2,0,5,5,1,2,60,59,1,1,6,185000,25,34,5,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860702,Cincinnati,39,025,17140,0402.06,10,93690,97826,15917,103700,394650,76,2024,2024,2,01,0,360,360,01,1,0,5,8,1,4,65,998,1,1,6.75,394650,21,29,4,9,0,0,PT01,99,9999,9999-12-31,3,6,6,6,6,5,8,8,8,8,2,1
2024,2860703,Cincinnati,39,149,43380,9715.00,4,94625,89458,4292,95000,118740,95,2024,2024,1,01,0,360,360,01,1,1,5,8,2,4,30,998,1,1,6.5,118750,25,36,5,9,30,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860704,Cincinnati,39,107,16380,9675.00,9,77622,95357,2978,101200,50000,20,2024,2024,1,01,0,180,180,01,1,0,5,8,2,4,55,998,1,1,6.125,50000,24,27,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860705,Cincinnati,21,101,21780,0204.01,31,27286,71953,20508,81400,308000,70,2024,2024,6,01,0,360,360,01,1,0,5,8,2,4,32,998,1,1,6.625,308000,14,29,3,9,0,0,PT01,99,9999,9999-12-31,1,6,6,6,6,5,8,8,8,8,2,1
2024,2860706,Cincinnati,18,081,26900,6101.02,24,93410,93688,19070,101200,475000,74,2024,2024,1,01,0,360,360,01,2,0,5,5,1,2,44,44,1,1,6.875,475000,20,36,4,5,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
2024,2860707,Cincinnati,39,049,18140,0058.10,15,118281,97262,7500,103300,245200,80,2024,2024,1,01,0,360,360,01,1,1,6,8,3,4,28,998,1,1,7,245200,31,32,5,9,0,0,PT01,99,9999,9999-12-31,3,6,6,6,6,5,8,8,8,8,2,1
2024,2860708,Cincinnati,21,101,21780,0206.02,22,74934,71953,7088,81400,65000,31,2024,2024,1,01,0,180,180,01,1,0,5,8,2,4,58,998,1,1,6,65000,12,15,5,9,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,5,8,8,8,8,2,1
2024,2860709,Cincinnati,21,101,21780,0209.01,9,73795,71953,15472,81400,158200,70,2024,2024,6,01,0,180,180,01,2,0,5,5,1,2,55,53,1,1,5.625,158200,10,36,4,4,0,0,PT01,99,9999,9999-12-31,2,6,6,6,6,2,6,6,6,6,2,1
